iter	Passed	Remaining
0	132	663380
1	194	486628
2	226	377906
3	289	361901
4	353	352812
5	416	346401
6	482	344249
7	541	338019
8	615	341535
9	681	340208
10	746	338408
11	806	335379
12	862	331002
13	914	325772
14	981	326188
15	1050	327126
16	1120	328526
17	1187	328672
18	1250	327750
19	1310	326337
20	1375	326131
21	1439	325715
22	1505	325694
23	1565	324633
24	1632	324919
25	1706	326377
26	1767	325628
27	1827	324594
28	1882	322616
29	1925	318931
30	1989	318940
31	2056	319222
32	2113	318136
33	2174	317606
34	2232	316658
35	2288	315599
36	2349	315194
37	2413	315105
38	2476	315018
39	2541	315113
40	2607	315346
41	2667	314919
42	2733	315079
43	2794	314784
44	2859	314893
45	2922	314738
46	2979	313998
47	3041	313803
48	3102	313436
49	3170	313921
50	3236	314033
51	3298	313862
52	3360	313696
53	3422	313490
54	3485	313383
55	3556	314000
56	3620	313969
57	3678	313468
58	3740	313254
59	3803	313178
60	3869	313286
61	3937	313600
62	3996	313180
63	4060	313155
64	4138	314203
65	4204	314318
66	4269	314336
67	4333	314334
68	4396	314165
69	4464	314395
70	4533	314730
71	4590	314217
72	4624	312102
73	4652	309708
74	4711	309360
75	4781	309763
76	4844	309740
77	4906	309582
78	4970	309614
79	5033	309584
80	5101	309807
81	5169	310054
82	5233	310032
83	5302	310305
84	5368	310418
85	5433	310485
86	5494	310280
87	5554	310043
88	5613	309741
89	5676	309693
90	5740	309693
91	5805	309724
92	5870	309762
93	5935	309805
94	5995	309567
95	6061	309646
96	6124	309563
97	6189	309586
98	6249	309393
99	6307	309091
100	6365	308739
101	6427	308663
102	6500	309036
103	6563	308984
104	6626	308899
105	6693	309014
106	6754	308874
107	6818	308863
108	6881	308785
109	6950	308991
110	7024	309382
111	7092	309518
112	7149	309200
113	7208	308964
114	7271	308882
115	7332	308740
116	7400	308856
117	7463	308775
118	7527	308752
119	7597	308958
120	7662	308979
121	7723	308831
122	7798	309199
123	7856	308956
124	7920	308898
125	7983	308812
126	8049	308844
127	8115	308880
128	8178	308800
129	8238	308626
130	8310	308898
131	8372	308782
132	8432	308577
133	8483	308067
134	8527	307294
135	8590	307222
136	8635	306512
137	8659	305081
138	8699	304231
139	8739	303376
140	8776	302438
141	8837	302348
142	8899	302259
143	8961	302212
144	9021	302052
145	9085	302052
146	9150	302080
147	9213	302038
148	9280	302144
149	9342	302088
150	9405	302037
151	9464	301856
152	9532	301991
153	9602	302156
154	9661	302003
155	9730	302134
156	9794	302117
157	9862	302232
158	9931	302385
159	9998	302460
160	10065	302521
161	10125	302383
162	10186	302289
163	10254	302373
164	10319	302392
165	10386	302458
166	10447	302351
167	10503	302110
168	10567	302086
169	10628	301983
170	10696	302058
171	10763	302116
172	10827	302108
173	10887	301981
174	10949	301903
175	11011	301818
176	11074	301776
177	11144	301910
178	11217	302117
179	11283	302141
180	11352	302246
181	11421	302359
182	11484	302287
183	11555	302454
184	11623	302513
185	11687	302500
186	11753	302513
187	11815	302414
188	11860	301913
189	11909	301493
190	11977	301575
191	12030	301274
192	12102	301428
193	12159	301224
194	12224	301235
195	12286	301134
196	12348	301073
197	12410	300981
198	12464	300712
199	12527	300648
200	12590	300601
201	12650	300488
202	12680	299657
203	12713	298882
204	12779	298921
205	12855	299162
206	12923	299238
207	12992	299325
208	13058	299344
209	13127	299430
210	13189	299365
211	13250	299264
212	13318	299329
213	13384	299337
214	13455	299461
215	13526	299578
216	13589	299523
217	13657	299586
218	13721	299548
219	13786	299543
220	13849	299492
221	13914	299485
222	13984	299560
223	14050	299570
224	14126	299785
225	14194	299832
226	14262	299892
227	14329	299923
228	14397	299953
229	14464	299986
230	14533	300036
231	14602	300101
232	14661	299963
233	14729	299995
234	14812	300338
235	14873	300252
236	14939	300239
237	15003	300202
238	15049	299803
239	15097	299430
240	15169	299546
241	15256	299954
242	15326	300035
243	15392	300032
244	15459	300037
245	15528	300097
246	15594	300090
247	15665	300165
248	15737	300270
249	15806	300316
250	15874	300347
251	15938	300293
252	16010	300410
253	16075	300373
254	16146	300456
255	16217	300536
256	16288	300601
257	16354	300600
258	16416	300497
259	16489	300609
260	16561	300701
261	16629	300728
262	16700	300790
263	16764	300751
264	16844	300967
265	16911	300965
266	16981	301028
267	17049	301038
268	17121	301121
269	17189	301127
270	17263	301254
271	17328	301207
272	17401	301314
273	17470	301326
274	17524	301109
275	17561	300585
276	17628	300581
277	17703	300711
278	17775	300774
279	17836	300676
280	17906	300707
281	17979	300802
282	18051	300883
283	18118	300877
284	18190	300947
285	18264	301040
286	18328	300975
287	18394	300949
288	18456	300855
289	18531	300970
290	18599	300980
